municipio_6,ano,populacao,nome_municipio,qtd_internacoes_uti,qtd_internacoes_icsap_uti,soma_val_tot,soma_dias_perm,qtd_estabelecimentos_media,qtd_leitos_existentes_media,qtd_leitos_sus_media,siops_dotacao_atualizada,siops_despesa_empenhada,siops_despesa_liquidada,siops_despesa_paga
351920,2022,6131,Iacri - SP,70,14,395653.56,717,5.916666666666667,,,,,,
351925,2022,8010,Iaras - SP,39,4,505363.64,546,8.0,,,,,,
351930,2022,32178,Ibaté - SP,255,49,1790334.75,2730,52.25,29.5,27.0,,,,
351940,2022,11690,Ibirá - SP,128,21,1532972.2,1574,21.0,27.0,9.0,,,,
351950,2022,6385,Ibirarema - SP,84,19,628746.5,860,6.75,,,,,,
351960,2022,60033,Ibitinga - SP,601,151,3042823.14,4742,161.16666666666666,119.41666666666667,56.333333333333336,,,,
351970,2022,75605,Ibiúna - SP,284,34,2561545.21,4159,60.083333333333336,230.33333333333334,69.41666666666667,,,,
351980,2022,7819,Icém - SP,61,17,598066.03,693,20.333333333333332,,,,,,
351990,2022,7619,Iepê - SP,81,22,470601.48,693,22.166666666666668,18.0,18.0,,,,
352000,2022,23106,Igaraçu do Tietê - SP,97,14,856286.89,1540,14.416666666666666,,,,,,
352010,2022,26212,Igarapava - SP,127,22,813869.27,838,66.66666666666667,48.166666666666664,38.0,,,,
352020,2022,10605,Igaratá - SP,128,21,872702.04,1220,8.416666666666666,8.0,8.0,,,,
352030,2022,29115,Iguape - SP,126,27,1014451.38,1942,32.25,9.0,9.0,,,,
352040,2022,34934,Ilhabela - SP,248,38,1510592.31,2358,35.916666666666664,53.5,53.5,,,,
352042,2022,13419,Ilha Comprida - SP,93,22,688587.62,1167,12.583333333333334,,,,,,
352044,2022,25549,Ilha Solteira - SP,213,57,1380972.74,2237,121.58333333333333,125.5,85.33333333333333,,,,
352050,2022,255748,Indaiatuba - SP,1521,287,10387556.28,19369,419.6666666666667,463.4166666666667,268.3333333333333,,,,
352060,2022,5090,Indiana - SP,20,5,176338.72,211,8.1,,,,,,
352070,2022,4035,Indiaporã - SP,37,4,258475.76,309,6.0,36.0,4.0,,,,
352080,2022,3615,Inúbia Paulista - SP,42,11,365367.81,607,2.0,,,,,,
352090,2022,13712,Ipaussu - SP,103,17,797628.25,995,19.25,49.0,38.0,,,,
352100,2022,36459,Iperó - SP,170,27,1502811.91,2267,31.583333333333332,15.0,15.0,,,,
352110,2022,6831,Ipeúna - SP,32,4,208967.65,396,8.909090909090908,,,,,,
352115,2022,6761,Ipiguá - SP,50,16,453211.70999999996,440,3.0,,,,,,
352120,2022,4046,Iporanga - SP,12,3,223529.77,251,5.0,,,,,,
352130,2022,14454,Ipuã - SP,55,12,484734.32,584,58.81818181818182,53.81818181818182,43.0,,,,
352140,2022,21967,Iracemápolis - SP,93,18,822183.76,1198,32.75,9.25,8.0,,,,
352150,2022,6867,Irapuã - SP,38,6,372986.88,339,10.583333333333334,,,,,,
352160,2022,7085,Irapuru - SP,37,4,283512.79000000004,472,6.0,,,,,,
352170,2022,17983,Itaberá - SP,81,11,674913.24,1006,24.0,19.0,19.0,,,,
352180,2022,25180,Itaí - SP,82,10,926972.63,1165,31.666666666666668,37.0,36.166666666666664,,,,
352190,2022,16989,Itajobi - SP,119,20,1093230.0,1149,29.083333333333332,50.0,32.75,,,,
352200,2022,3618,Itaju - SP,22,1,138903.24,239,2.0,,,,,,
352210,2022,112476,Itanhaém - SP,767,164,5658944.36,10244,93.41666666666667,173.75,144.25,,,,
352215,2022,3422,Itaoca - SP,10,1,65975.82,132,4.0,,,,,,
352220,2022,158522,Itapecerica da Serra - SP,1012,157,7715446.25,12734,77.5,710.0,243.75,,,,
352230,2022,157790,Itapetininga - SP,783,101,5456062.68,10383,447.0,184.83333333333334,134.33333333333334,,,,
352240,2022,89728,Itapeva - SP,552,91,4619876.72,7317,302.0833333333333,187.5,138.66666666666666,,,,
352250,2022,232297,Itapevi - SP,1059,135,9654830.34,18608,121.66666666666667,491.1666666666667,286.1666666666667,,,,
352260,2022,72022,Itapira - SP,478,81,4050448.77,5511,160.08333333333334,960.0833333333334,577.9166666666666,,,,
352265,2022,4306,Itapirapuã Paulista - SP,6,0,29101.66,28,7.0,,,,,,
352270,2022,39493,Itápolis - SP,500,138,2544002.19,3605,99.5,90.0,64.0,,,,
352280,2022,14085,Itaporanga - SP,40,3,433248.7,530,19.0,43.666666666666664,30.0,,,,
352290,2022,13659,Itapuí - SP,73,8,635720.92,1072,15.0,30.0,30.0,,,,
352300,2022,3979,Itapura - SP,32,8,194844.73,265,5.0,,,,,,
352310,2022,369275,Itaquaquecetuba - SP,1536,264,12831256.34,23571,103.41666666666667,288.8333333333333,277.0,,,,
352320,2022,44438,Itararé - SP,152,13,1498215.1,2306,83.75,80.0,53.0,,,,
352330,2022,15528,Itariri - SP,60,14,488990.36,855,12.88888888888889,,,,,,
